pair_index	right_chr	right_start	right_end	left_chr	left_start	left_end	right_samples_amped	right_samples_non_amped	left_samples_amped	left_samples_non_amped	right_AmpFreq	left_AmpFreq	Fisher_pval	qval
28	chr11	69950001	69960000	chr11	69370001	69380000	28	2	27	3	0.933333333333333	0.9	1	1
29	chr11	69960001	69970000	chr11	69360001	69370000	28	2	27	3	0.933333333333333	0.9	1	1
30	chr11	69970001	69980000	chr11	69350001	69360000	28	2	27	3	0.933333333333333	0.9	1	1
31	chr11	69980001	69990000	chr11	69340001	69350000	28	2	27	3	0.933333333333333	0.9	1	1
32	chr11	69990001	70000000	chr11	69330001	69340000	27	3	27	3	0.9	0.9	1	1
33	chr11	70000001	70010000	chr11	69320001	69330000	27	3	26	4	0.9	0.866666666666667	1	1
34	chr11	70010001	70020000	chr11	69310001	69320000	27	3	26	4	0.9	0.866666666666667	1	1
35	chr11	70020001	70030000	chr11	69300001	69310000	27	3	26	4	0.9	0.866666666666667	1	1
36	chr11	70030001	70040000	chr11	69290001	69300000	27	3	26	4	0.9	0.866666666666667	1	1
37	chr11	70040001	70050000	chr11	69280001	69290000	27	3	26	4	0.9	0.866666666666667	1	1
38	chr11	70050001	70060000	chr11	69270001	69280000	27	3	26	4	0.9	0.866666666666667	1	1
39	chr11	70060001	70070000	chr11	69260001	69270000	27	3	26	4	0.9	0.866666666666667	1	1
40	chr11	70070001	70080000	chr11	69250001	69260000	27	3	26	4	0.9	0.866666666666667	1	1
41	chr11	70080001	70090000	chr11	69240001	69250000	27	3	26	4	0.9	0.866666666666667	1	1
42	chr11	70090001	70100000	chr11	69230001	69240000	27	3	25	5	0.9	0.833333333333333	0.706469199425287	1
43	chr11	70100001	70110000	chr11	69220001	69230000	27	3	25	5	0.9	0.833333333333333	0.706469199425287	1
44	chr11	70110001	70120000	chr11	69210001	69220000	27	3	24	6	0.9	0.8	0.471644558965516	1
45	chr11	70120001	70130000	chr11	69200001	69210000	27	3	23	7	0.9	0.766666666666667	0.298979382156861	0.783532173928325
46	chr11	70130001	70140000	chr11	69190001	69200000	27	3	23	7	0.9	0.766666666666667	0.298979382156861	0.783532173928325
47	chr11	70140001	70150000	chr11	69180001	69190000	27	3	23	7	0.9	0.766666666666667	0.298979382156861	0.783532173928325
48	chr11	70150001	70160000	chr11	69170001	69180000	26	4	22	8	0.866666666666667	0.733333333333333	0.333411738115205	0.844643069891852
49	chr11	70160001	70170000	chr11	69160001	69170000	26	4	23	7	0.866666666666667	0.766666666666667	0.506177594327247	1
50	chr11	70170001	70180000	chr11	69150001	69160000	26	4	21	9	0.866666666666667	0.7	0.2092362789628	0.679903221151216
51	chr11	70180001	70190000	chr11	69140001	69150000	26	4	21	9	0.866666666666667	0.7	0.2092362789628	0.679903221151216
52	chr11	70190001	70200000	chr11	69130001	69140000	26	4	20	10	0.866666666666667	0.666666666666667	0.125278403507509	0.572660325287588
53	chr11	70200001	70210000	chr11	69120001	69130000	26	4	20	10	0.866666666666667	0.666666666666667	0.125278403507509	0.572660325287588
54	chr11	70210001	70220000	chr11	69110001	69120000	26	4	20	10	0.866666666666667	0.666666666666667	0.125278403507509	0.572660325287588
55	chr11	70220001	70230000	chr11	69100001	69110000	25	5	21	9	0.833333333333333	0.7	0.360360454782322	0.855856080108015
56	chr11	70230001	70240000	chr11	69090001	69100000	25	5	21	9	0.833333333333333	0.7	0.360360454782322	0.855856080108015
57	chr11	70240001	70250000	chr11	69080001	69090000	25	5	20	10	0.833333333333333	0.666666666666667	0.232598470393837	0.679903221151216
58	chr11	70250001	70260000	chr11	69070001	69080000	25	5	20	10	0.833333333333333	0.666666666666667	0.232598470393837	0.679903221151216
59	chr11	70260001	70270000	chr11	69060001	69070000	25	5	20	10	0.833333333333333	0.666666666666667	0.232598470393837	0.679903221151216
60	chr11	70270001	70280000	chr11	69050001	69060000	25	5	20	10	0.833333333333333	0.666666666666667	0.232598470393837	0.679903221151216
61	chr11	70280001	70290000	chr11	69040001	69050000	25	5	20	10	0.833333333333333	0.666666666666667	0.232598470393837	0.679903221151216
62	chr11	70290001	70300000	chr11	69030001	69040000	25	5	19	11	0.833333333333333	0.633333333333333	0.143165081321897	0.572660325287588
63	chr11	70300001	70310000	chr11	69020001	69030000	25	5	19	11	0.833333333333333	0.633333333333333	0.143165081321897	0.572660325287588
64	chr11	70310001	70320000	chr11	69010001	69020000	25	5	19	11	0.833333333333333	0.633333333333333	0.143165081321897	0.572660325287588
65	chr11	70320001	70330000	chr11	69000001	69010000	25	5	18	12	0.833333333333333	0.6	0.0840355678859036	0.491284858409898
66	chr11	70330001	70340000	chr11	68990001	69000000	25	5	17	13	0.833333333333333	0.566666666666667	0.0470223259482567	0.297808064338959
67	chr11	70340001	70350000	chr11	68980001	68990000	25	5	16	14	0.833333333333333	0.533333333333333	0.0250584241391035	0.173130930415624
68	chr11	70350001	70360000	chr11	68970001	68980000	25	5	16	14	0.833333333333333	0.533333333333333	0.0250584241391035	0.173130930415624
69	chr11	70360001	70370000	chr11	68960001	68970000	25	5	16	14	0.833333333333333	0.533333333333333	0.0250584241391035	0.173130930415624
70	chr11	70370001	70380000	chr11	68950001	68960000	25	5	16	14	0.833333333333333	0.533333333333333	0.0250584241391035	0.173130930415624
72	chr11	70390001	70400000	chr11	68930001	68940000	25	5	13	17	0.833333333333333	0.433333333333333	0.00277967304510464	0.0632690365035364
73	chr11	70400001	70410000	chr11	68920001	68930000	24	6	13	17	0.8	0.433333333333333	0.00727478678309422	0.0789833993593087
74	chr11	70410001	70420000	chr11	68910001	68920000	24	6	13	17	0.8	0.433333333333333	0.00727478678309422	0.0789833993593087
75	chr11	70420001	70430000	chr11	68900001	68910000	24	6	13	17	0.8	0.433333333333333	0.00727478678309422	0.0789833993593087
76	chr11	70430001	70440000	chr11	68890001	68900000	24	6	12	18	0.8	0.4	0.00332994928965981	0.0632690365035364
77	chr11	70440001	70450000	chr11	68880001	68890000	24	6	12	18	0.8	0.4	0.00332994928965981	0.0632690365035364
